Title,Genre,Artist
Murder on the Dancefloor,disco,Sophie Ellis-Bextor
Levitating (feat. DaBaby),disco,Dua Lipa
Say So,disco,Doja Cat
24K Magic,disco,Bruno Mars
Sugar,disco,Maroon 5
Lay All Your Love on Me,disco,ABBA
Cake By The Ocean,disco,DNCE
One Kiss (with Dua Lipa),disco,Calvin Harris
Flowers,disco,Miley Cyrus
Feather,disco,Sabrina Carpenter
Levitating,disco,Dua Lipa
Dead To Me,disco,Kali Uchis
She Wolf,disco,Shakira
No Tears Left To Cry,disco,Ariana Grande
Lose Yourself to Dance (feat. Pharrell Williams),disco,Daft Punk
Apple,disco,Charli XCX
Pretty Girl,disco,Clairo
Lavender Haze,disco,Taylor Swift
Houdini,disco,Foster the People
Feel It Still,disco,Portugal. The Man
D.A.N.C.E.,disco,Justice
Break My Heart,disco,Dua Lipa
Don't Stop 'Til You Get Enough,disco,Michael Jackson
You Spin Me Round (Like a Record),disco,Dead or Alive
Mr. Brightside,indie,The Killers
Creep,indie,Radiohead
Feel Good Inc.,indie,Gorillaz
Yellow,indie,Coldplay
Viva la Vida,indie,Coldplay
Karma Police,indie,Radiohead
No Surprises,indie,Radiohead
Take Me Out,indie,Franz Ferdinand
Seven Nation Army,indie,The White Stripes
The Scientist,indie,Coldplay
Kids,indie,MGMT
Somebody Told Me,indie,The Killers
Wonderwall,indie,Oasis
Pumped Up Kicks,indie,Foster the People
Sex on Fire,indie,Kings of Leon
Do I Wanna Know?,indie,Arctic Monkeys
Clocks,indie,Coldplay
Electric Feel,indie,MGMT
Sweater Weather,indie,The Neighbourhood
Supermassive Black Hole,indie,Muse
505,indie,Arctic Monkeys
Fix You,indie,Coldplay
Somebody That I Used To Know,indie,Gotye
Why'd You Only Call Me When You're High?,indie,Arctic Monkeys
Clint Eastwood,indie,Gorillaz
Time to Pretend,indie,MGMT
Reptilia,indie,The Strokes
Paranoid Android,indie,Radiohead
Fluorescent Adolescent,indie,Arctic Monkeys
The Less I Know the Better,indie,Tame Impala
Summertime Sadness,indie,Lana Del Rey
Chasing Cars,indie,Snow Patrol
Losing My Religion,indie,R.E.M.
Dog Days Are Over,indie,Florence + the Machine
Somewhere Only We Know,indie,Keane
High and Dry,indie,Radiohead
When You Were Young,indie,The Killers
I Wanna Be Yours,indie,Arctic Monkeys
Paper Planes,indie,M.I.A.
Someday,indie,The Strokes
Use Somebody,indie,Kings of Leon
I Bet You Look Good on the Dancefloor,indie,Arctic Monkeys
Video Games,indie,Lana Del Rey
Boys Don't Cry,indie,The Cure
DARE,indie,Gorillaz
Buddy Holly,indie,Weezer
Song 2,indie,Blur
Linger,indie,The Cranberries
Island in the Sun,indie,Weezer
Where Is My Mind?,indie,Pixies
Rolling in the Deep,soul,Adele
Back to Black,soul,Amy Winehouse
Pink + White,soul,Frank Ocean
Someone Like You,soul,Adele
Crazy,soul,Gnarls Barkley
Take Me to Church,soul,Hozier
Rehab,soul,Amy Winehouse
Thinkin Bout You,soul,Frank Ocean
September,soul,"Earth, Wind & Fire"
Set Fire to the Rain,soul,Adele
Kill Bill,soul,SZA
Halo,soul,Beyoncé
Dark Red,soul,Steve Lacy
You Know I'm No Good,soul,Amy Winehouse
Lost,soul,Frank Ocean
Redbone,soul,Childish Gambino
Earfquake,soul,"Tyler, the Creator"
Bound 2,soul,Kanye West
Die For You,soul,The Weeknd
Ain't No Sunshine,soul,Bill Withers
I Want You Back,soul,The Jackson 5
All The Stars (with SZA),soul,Kendrick Lamar
When I Was Your Man,soul,Bruno Mars
Ivy,soul,Frank Ocean
Save Your Tears,soul,The Weeknd
Careless Whisper,soul,George Michael
Chasing Pavements,soul,Adele
No Scrubs,soul,TLC
Tears Dry on Their Own,soul,Amy Winehouse
Rock Your Body,soul,Justin Timberlake
You've Got the Love,soul,Florence + the Machine
PRIDE.,soul,Kendrick Lamar
Slow dancing in the dark,soul,Joji
Bad Habit,soul,Steve Lacy
Blue Jeans,soul,Lana Del Rey
Irreplaceable,soul,Beyoncé
nights,soul,Frank Ocean
Stand By Me,soul,Ben E. King
My Girl,soul,The Temptations
Watermelon Sugar,soul,Harry Styles
telepatía,soul,Kali Uchis
Ain't No Mountain High Enough,soul,Marvin Gaye
Put Your Records On,soul,Corinne Bailey Rae
American Boy,soul,Estelle
Say My Name,soul,Destiny's Child
Are We Still Friends?,soul,"Tyler, the Creator"
Novacane,soul,Frank Ocean
Bleeding Love,soul,Leona Lewis
That's What I Like,soul,Bruno Mars
Call Out My Name,soul,The Weeknd
One More Time,house,Daft Punk
"Harder, Better, Faster, Stronger",house,Daft Punk
Wake Me Up,house,Avicii
Around the World,house,Daft Punk
Borderline,house,Tame Impala
Titanium (feat. Sia),house,David Guetta
Something About Us,house,Daft Punk
Digital Love,house,Daft Punk
Summer,house,Calvin Harris
Passionfruit,house,Drake
3005,house,Childish Gambino
Aerodynamic,house,Daft Punk
Into You,house,Ariana Grande
Rather Be (feat. Jess Glynne),house,Clean Bandit
Where Have You Been,house,Rihanna
Memories (feat. Kid Cudi),house,David Guetta
Sorry,house,Justin Bieber
Heartbeat,house,Childish Gambino
One Kiss (with Dua Lipa),house,Calvin Harris
Sexy Bitch (feat. Akon),house,David Guetta
aFTeR hoURs,house,The Weeknd
Something Just Like This,house,The Chainsmokers
This Is What You Came For,house,Calvin Harris
D.A.N.C.E.,house,Justice
Veridis Quo,house,Daft Punk
Break My Heart,house,Dua Lipa
Lean On (feat. MØ & DJ Snake),house,Major Lazer
Genesis,house,Justice
What Do You Mean?,house,Justin Bieber
Time of Our Lives,house,Pitbull
Technologic,house,Daft Punk
Face to Face,house,Daft Punk
The Nights,house,Avicii
On Sight,house,Kanye West
Voyager,house,Daft Punk
Da Funk,house,Daft Punk
"yes, and?",house,Ariana Grande
Lush Life,house,Zara Larsson
Get Lucky (feat. Pharrell Williams),house,Daft Punk
Hey Brother,house,Avicii
guess featuring billie eilish,house,Charli XCX
Look at Me!,house,xxxtentacion
Boss Bitch,house,Doja Cat
CUFF IT,house,Beyoncé
Von Dutch,house,Charli XCX
Praise You,house,Fatboy Slim
Crescendolls,house,Daft Punk
Nightvision,house,Daft Punk
Robot Rock,house,Daft Punk
Let Me Love You,house,DJ Snake
Don't Speak,ska,No Doubt
All Star,ska,Smash Mouth
Santeria,ska,Sublime
Smile,ska,Lily Allen
Just a Girl,ska,No Doubt
What I Got,ska,Sublime
LDN,ska,Lily Allen
Amber,ska,311
Wrong Way,ska,Sublime
Our House,ska,Madness
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",ska,Calvin Harris
It's My Life,ska,No Doubt
"Ob-La-Di, Ob-La-Da",ska,The Beatles
Doin' Time,ska,Sublime
Bongo Bong,ska,Manu Chao
Spiderwebs,ska,No Doubt
Hella Good,ska,No Doubt
The Guns of Brixton,ska,The Clash
Badfish,ska,Sublime
8,ska,Billie Eilish
Walkin' On The Sun,ska,Smash Mouth
Smoke Two Joints,ska,Sublime
Time Bomb,ska,Rancid
Rudie Can't Fail,ska,The Clash
Sunday Morning,ska,No Doubt
Ghost Town,ska,The Specials
Superman,ska,Goldfinger
The Impression That I Get,ska,The Mighty Mighty Bosstones
99 Red Balloons,ska,Goldfinger
Date Rape,ska,Sublime
Clandestino,ska,Manu Chao
On Mercury,ska,Red Hot Chili Peppers
Caress Me Down,ska,Sublime
Underneath It All,ska,No Doubt
I'm a Believer,ska,Smash Mouth
"Ob-La-Di, Ob-La-Da - Remastered 2009",ska,The Beatles
Knock 'em Out,ska,Lily Allen
Babe (Taylor's Version) (From the Vault),ska,Taylor Swift
Hey Baby,ska,No Doubt
Friday Night,ska,Lily Allen
Our Day Will Come,ska,Amy Winehouse
Ruby Soho,ska,Rancid
stupid horse,ska,100 gecs
Je ne t'aime plus,ska,Manu Chao
Same in the End,ska,Sublime
Not Big,ska,Lily Allen
Ex-Girlfriend,ska,No Doubt
Beautiful Disaster,ska,311
The Right Profile,ska,The Clash
Sell Out,ska,Reel Big Fish
Smells Like Teen Spirit,alternative,Nirvana
Mr. Brightside,alternative,The Killers
Creep,alternative,Radiohead
Come as You Are,alternative,Nirvana
Feel Good Inc.,alternative,Gorillaz
Yellow,alternative,Coldplay
Viva la Vida,alternative,Coldplay
Karma Police,alternative,Radiohead
No Surprises,alternative,Radiohead
Take Me Out,alternative,Franz Ferdinand
Chop Suey!,alternative,System of a Down
Californication,alternative,Red Hot Chili Peppers
Everlong,alternative,Foo Fighters
In the End,alternative,Linkin Park
Seven Nation Army,alternative,The White Stripes
The Scientist,alternative,Coldplay
Kids,alternative,MGMT
Somebody Told Me,alternative,The Killers
Wonderwall,alternative,Oasis
Pumped Up Kicks,alternative,Foster the People
Under the Bridge,alternative,Red Hot Chili Peppers
Sex on Fire,alternative,Kings of Leon
Numb,alternative,Linkin Park
Do I Wanna Know?,alternative,Arctic Monkeys
Clocks,alternative,Coldplay
Electric Feel,alternative,MGMT
Lithium,alternative,Nirvana
Sweater Weather,alternative,The Neighbourhood
Supermassive Black Hole,alternative,Muse
505,alternative,Arctic Monkeys
Scar Tissue,alternative,Red Hot Chili Peppers
Fix You,alternative,Coldplay
Zombie,alternative,The Cranberries
Somebody That I Used To Know,alternative,Gotye
Heart-Shaped Box,alternative,Nirvana
Why'd You Only Call Me When You're High?,alternative,Arctic Monkeys
Clint Eastwood,alternative,Gorillaz
About a Girl,alternative,Nirvana
Time to Pretend,alternative,MGMT
Bring Me to Life,alternative,Evanescence
Reptilia,alternative,The Strokes
Misery Business,alternative,Paramore
All the Small Things,alternative,blink-182
Otherside,alternative,Red Hot Chili Peppers
Paranoid Android,alternative,Radiohead
Fluorescent Adolescent,alternative,Arctic Monkeys
Basket Case,alternative,Green Day
The Less I Know the Better,alternative,Tame Impala
Summertime Sadness,alternative,Lana Del Rey
Chasing Cars,alternative,Snow Patrol
